product_id,title,price,description,url,status
1601201388,Boys 2 Pack Swim Shorts - Multi,From £15,"The Very Collection Boys 2 Pack Swim Shorts
Size & Fit
Regular fit
Available in sizes 3 years - 16 years

Details
Boys 2 Pack Swim Shorts by The Very Collection
Multi
Elasticated waist detail
Tie fastening
Side slip pockets
2 pack

About the brand: 

The Very Collection is full of trending updates, seasonal staples, and affordable basics, designed to be your fail-safe fashion formula for looking good all year round. With a focus on premium fabrics, it’s carefully curated to bring you the best of what’s new right now, with considered and exclusive designs for women, men, and the kids too.",https://www.very.co.uk/the-very-collection-boys-2-pack-swim-shorts-multi/1601201388.prd,success
1601213067,Boys Cargo Swim Shorts - Blue,From £9,"The Very Collection Boys Cargo Swim Shorts
Size & Fit
Regular fit
Available in sizes 3 years - 16 years

Details
Boys Cargo Swim Shorts by The Very Collection
Blue
Elasticated waist detail
Tie fastening
Cargo pockets on sides
Side slip pockets
Products must be returned unworn, unwashed, in their original condition with all tags and original order packing slip
We reserve the right to refuse returns that show signs of wear or do not meet the above criteria

About the brand: 

The Very Collection is full of trending updates, seasonal staples, and affordable basics, designed to be your fail-safe fashion formula for looking good all year round. With a focus on premium fabrics, it’s carefully curated to bring you the best of what’s new right now, with considered and exclusive designs for women, men, and the kids too.",https://www.very.co.uk/the-very-collection-boys-cargo-swim-shorts-blue/1601213067.prd,success
1601196456,Compact Knitted Mini Skirt Co-ord - Burgundy - Red,"£20
(Save £5)
£25","The Very Collection Compact Knitted Fit & Flare Mini Skirt Co-ord - Burgundy
Size & Fit
True to size - order your usual size
Regular fit
Available in sizes S - L (S:8-10, M:12-14, L:16-18) 

Details
Compact Knitted Fit & Flare Mini Skirt Coord - Burgundy by The Very Collection
Red
A line fit & flare skirt
Knitted 
Pull on
Elasticated waist
Matching cardigan available separately, search WOCAW

Material & Care
Material Content: 38% Viscose, 36% Polyamide, 26% Polyester
Washing Instructions: Machine Washable

About the brand: 

The Very Collection is full of trending updates, seasonal staples, and affordable basics, designed to be your fail-safe fashion formula for looking good all year round. With a focus on premium fabrics, it’s carefully curated to bring you the best of what’s new right now, with considered and exclusive designs for women, men, and the kids too.",https://www.very.co.uk/the-very-collection-compact-knitted-mini-skirt-co-ord-burgundy-red/1601196456.prd,success
